id	sex	GPA	Alcoholuse	alcatt	dadjob	momjob	dadclose	momclose	larceny	vandalism
115	2	1	4	3	1	2	1	1	0	5
116	2	4	2	3	1	2	0	1	0	2
117	1	1	2	1	1	2	2	2	1	1
118	2	1	6	1	1	2	0	1	1	2
119	1	3	4	1	1	1	7	1	0	3
120	2	4	2	3	1	2	2	3	0	1
121	2	5	2	1	1	2	4	1	1	0
122	2	4	3	0	1	2	3	1	1	1
123	2	2	3	0	1	1	0	1	2	1
124	2	1	4	2	1	2	3	2	0	2
125	2	1	5	3	1	1	1	3	1	7
126	1	2	2	4	1	2	1	0	0	1
127	2	1	4	1	1	2	1	1	0	3
128	2	1	2	1	1	2	1	0	0	1
129	2	1	5	0	1	2	2	4	3	1
130	2	4	5	1	1	2	1	3	2	2
131	1	1	3	3	1	2	4	5	3	1
132	2	1	8	1	1	1	0	3	1	1
133	1	2	4	3	1	2	0	1	0	4
134	2	3	4	1	1	2	3	2	0	3
135	1	3	6	1	1	2	2	2	0	3
136	2	2	4	5	2	2	0	0	1	4
137	2	0	6	4	2	2	2	1	2	4
138	1	1	6	1	1	2	1	2	1	1
139	2	0	3	1	2	1	4	2	0	0
140	2	1	5	3	1	2	1	4	0	4
141	1	0	3	4	1	2	1	2	1	1
142	2	2	3	0	1	2	2	2	2	3
143	2	1	6	1	1	2	1	0	1	0
144	1	0	4	0	1	2	5	1	3	3
145	2	0	0	1	1	1	3	3	1	3
146	2	3	2	2	1	2	3	1	3	1
147	2	3	6	2	1	2	1	1	2	4
148	1	1	6	5	1	2	1	1	0	1
149	2	3	2	1	2	2	0	3	0	3
150	1	3	4	3	1	1	3	1	0	2
151	2	3	6	3	1	2	2	2	0	1
152	2	0	3	3	1	1	0	3	0	3
153	2	2	4	1	1	2	2	2	0	5
154	1	1	6	3	1	2	3	2	1	4
155	1	0	2	4	1	2	4	3	0	0
156	1	4	3	0	1	2	0	2	0	2
157	2	1	4	4	2	2	3	1	1	2
158	2	2	1	1	1	2	2	2	1	2
159	2	5	2	2	1	1	1	1	1	0
160	2	4	1	0	1	2	2	0	1	1
161	2	2	3	4	1	2	1	1	0	4
162	1	2	4	1	1	2	0	1	1	3
163	2	1	6	0	1	2	2	4	1	1
164	2	5	5	5	1	1	1	2	2	1
165	2	4	4	3	1	2	2	2	1	1
166	2	1	1	1	1	2	3	4	1	4
167	2	1	6	1	1	1	1	1	0	0
168	2	2	3	2	1	2	1	4	3	2
169	2	1	1	2	1	2	2	3	2	0
170	1	3	4	2	2	2	3	1	1	1
171	2	0	8	1	1	2	0	0	0	3
172	2	2	3	3	1	2	2	5	3	2
173	2	4	1	2	1	2	2	2	3	1
174	2	2	4	0	1	2	4	2	0	1
175	2	1	4	0	1	2	2	2	1	0
176	1	2	2	3	1	1	4	2	1	2
177	2	1	2	0	1	2	0	1	1	1
178	1	3	3	4	1	2	2	2	2	4
179	2	3	5	1	1	2	0	2	3	1
180	2	1	4	4	1	2	1	1	1	1
181	1	4	4	5	1	1	2	3	2	4
182	2	5	4	1	1	2	3	2	1	1
183	1	3	2	2	1	1	1	2	1	1
184	2	0	7	5	1	2	0	0	1	3
185	2	0	7	1	1	2	3	2	0	3
186	1	0	6	1	1	2	2	2	0	4
187	1	4	7	1	1	2	1	4	1	3
188	2	0	3	2	1	2	4	2	0	1
189	2	3	1	1	1	2	0	0	0	4
190	2	3	4	0	1	2	3	6	0	1
191	1	1	3	0	1	2	0	1	0	1
192	1	3	5	3	1	1	2	2	0	4
193	1	5	7	3	1	2	0	2	1	0
194	2	2	5	2	1	2	3	5	2	2
195	2	0	2	2	1	1	2	3	1	1
196	2	2	5	2	1	2	2	0	0	2
197	2	1	4	4	1	2	2	0	1	1
198	1	3	0	0	1	1	2	0	0	3
199	1	3	1	2	1	2	0	0	0	4
200	2	2	2	3	2	1	1	1	2	2
